customer_id,subscription_type,plan_type,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,csat_score,customer_age,gender,signup_source,payment_method,churn,tenure_days,discount_used_last_renewal_encoded,auto_renew_encoded,previous_renewal_status_encoded,downgrade_history_encoded
1,Digital,Monthly,4.59,22,1,0.89,9.83,Europe,Politics,0.89,0,Mobile,Retention Offer,0.05,-19,0.29,5,58,Female,Mobile App,Credit Card,1,905,1,0,1,0
2,Digital+Print,Monthly,3.93,12,1,0.2,4.1,Asia,Politics,0.75,0,Mobile,Newsletter Promo,0.31,-94,-0.02,5,59,Male,Mobile App,PayPal,0,1426,0,0,1,0
3,Digital,Annual,4.03,22,0,0.61,13.79,Europe,Politics,0.58,3,Desktop,,0.06,-24,-0.18,3,47,Female,Mobile App,PayPal,0,1167,0,1,1,1
4,Digital,Annual,0.95,17,0,0.09,10.22,Europe,Technology,0.31,0,Mobile,,0.35,21,0.36,2,22,Other,Mobile App,PayPal,1,1404,0,0,1,0
5,Digital,Annual,4.82,27,0,0.39,11.69,Asia,Culture,0.71,1,Tablet,,0.26,-32,0.46,2,27,Female,Mobile App,PayPal,0,571,0,0,1,0
6,Digital,Monthly,3.39,10,0,0.71,8.14,Europe,Politics,0.31,2,Mobile,Newsletter Promo,0.31,-11,-0.85,2,65,Female,Web,Credit Card,0,896,0,1,1,0
7,Digital+Print,Monthly,2.45,14,0,0.66,8.53,North America,Culture,0.3,0,Desktop,Newsletter Promo,0.22,-99,0.53,5,48,Female,Web,Credit Card,0,1071,1,1,0,1
8,Digital,Annual,3.22,24,1,0.62,11.15,Asia,Technology,0.73,1,Desktop,,0.02,60,-0.16,2,28,Male,Web,Credit Card,0,1712,1,1,1,0
9,Digital,Monthly,0.34,25,1,0.28,5.34,North America,Technology,0.43,1,Mobile,,0.15,75,0.8,3,55,Female,Referral,Credit Card,1,264,1,0,0,0
10,Espresso,Monthly,3.61,24,3,0.38,8.57,Asia,Environment,0.43,1,Desktop,,0.33,-64,-0.33,4,24,Female,Web,Credit Card,0,1451,0,1,1,1
11,Digital,Monthly,1.46,21,0,0.1,6.56,Asia,Politics,0.76,2,Desktop,Newsletter Promo,0.45,-12,-0.5,5,29,Male,Web,Debit Card,1,34,1,0,1,0
12,Digital,Annual,0.97,28,1,0.72,6.44,Others,Environment,0.34,1,Desktop,Survey,0.56,26,0.32,4,62,Male,Mobile App,Credit Card,1,1587,0,0,1,0
13,Digital+Print,Annual,0.72,18,0,0.5,1.56,North America,Politics,0.52,2,Desktop,,0.34,2,1.07,4,66,Male,Web,Credit Card,0,476,0,1,1,0
14,Digital+Print,Monthly,4.67,0,0,0.71,15.36,Europe,Finance,0.4,1,Mobile,,0.13,-71,-0.81,5,58,Female,Mobile App,Credit Card,0,1616,1,0,1,1
15,Digital,Annual,2.06,3,0,0.25,7.25,Europe,Culture,0.71,0,Desktop,Newsletter Promo,0.26,-60,0.42,5,25,Female,Web,PayPal,0,1642,1,1,1,0
16,Digital+Print,Annual,5.3,13,0,0.32,14.65,North America,Environment,0.76,2,Tablet,Newsletter Promo,0.16,-97,0.28,2,45,Female,Mobile App,Credit Card,0,310,0,1,1,0
17,Digital+Print,Monthly,2.2,13,1,0.33,14.28,North America,Finance,0.8,1,Mobile,,0.53,-18,-0.02,3,33,Female,Web,Credit Card,0,1587,0,1,1,0
18,Digital,Monthly,0.44,2,1,0.03,4.86,Europe,Technology,0.48,0,Mobile,Retention Offer,0.25,10,1.04,5,20,Male,Web,Credit Card,0,1074,0,1,0,0
19,Digital,Annual,1.33,29,0,0.34,5.65,Europe,Technology,0.36,1,Tablet,,0.26,66,-0.96,4,54,Female,Mobile App,Credit Card,1,895,1,0,1,0
20,Digital,Monthly,4.85,27,1,0.8,20.24,North America,Culture,0.36,1,Mobile,,0.24,-77,0.56,5,49,Female,Mobile App,PayPal,0,1784,0,1,1,0
21,Espresso,Monthly,2.77,16,2,0.9,17.0,Europe,Politics,0.6,0,Desktop,,0.16,-51,0.49,3,38,Male,Web,Credit Card,0,1520,1,1,0,0
22,Digital,Monthly,2.18,2,1,0.52,9.87,Asia,Culture,0.96,1,Desktop,Newsletter Promo,0.3,-64,0.6,1,62,Female,Web,Credit Card,0,1024,0,1,1,0
23,Digital,Annual,3.24,15,1,0.46,11.03,Asia,Finance,0.45,1,Desktop,Newsletter Promo,0.18,80,0.54,4,35,Male,Web,Debit Card,0,185,0,1,0,0
24,Espresso,Annual,3.75,13,1,0.03,7.48,Others,Finance,0.48,0,Mobile,Survey,0.08,-76,0.12,1,65,Male,Web,Credit Card,0,224,0,0,0,0
25,Digital+Print,Annual,4.68,29,3,0.88,11.73,Europe,Finance,0.37,3,Mobile,,0.35,-8,-0.15,1,63,Male,Web,Credit Card,0,1702,0,1,0,0
26,Digital+Print,Monthly,5.17,19,2,0.01,7.13,Others,Finance,0.72,0,Mobile,Retention Offer,0.33,24,-0.31,3,28,Female,Mobile App,PayPal,1,1782,0,0,1,0
27,Digital,Annual,2.46,28,0,0.94,1.87,Asia,Environment,0.78,2,Desktop,Retention Offer,0.28,-70,0.29,5,67,Female,Web,PayPal,0,232,1,1,1,0
28,Digital+Print,Annual,1.01,12,0,0.49,4.71,North America,Finance,0.75,1,Desktop,Survey,0.26,-9,-0.0,1,25,Female,Web,Credit Card,0,1390,1,1,1,0
29,Digital+Print,Monthly,2.38,14,1,0.34,10.08,North America,Environment,0.9,2,Desktop,Retention Offer,0.27,-63,-0.11,2,29,Female,Mobile App,PayPal,0,408,1,0,1,0
30,Digital,Annual,3.39,13,1,0.92,5.48,Europe,Politics,0.64,0,Desktop,,0.47,26,-0.28,5,68,Male,Web,Credit Card,0,998,1,1,1,0
31,Digital,Monthly,1.55,23,1,0.02,9.73,Europe,Technology,0.39,0,Mobile,Newsletter Promo,0.07,-43,-0.2,4,69,Male,Mobile App,Debit Card,1,70,1,0,1,0
32,Digital,Monthly,1.56,24,0,0.58,5.7,Europe,Culture,0.5,0,Mobile,,0.07,80,0.39,5,19,Male,Mobile App,PayPal,1,961,0,1,0,0
33,Espresso,Monthly,3.52,18,2,0.55,6.87,Europe,Technology,0.76,1,Desktop,,0.66,13,0.01,3,58,Male,Web,Credit Card,0,549,1,1,1,0
34,Digital,Monthly,2.93,5,1,0.22,13.41,Asia,Technology,0.73,0,Mobile,,0.71,-51,0.6,3,39,Female,Web,Credit Card,0,165,0,1,0,0
35,Digital,Monthly,3.05,9,1,0.43,10.99,Europe,Technology,0.67,1,Mobile,Retention Offer,0.3,31,-0.68,4,26,Female,Web,Credit Card,0,902,0,1,0,1
36,Digital,Monthly,1.86,26,1,0.65,9.96,North America,Culture,0.78,0,Mobile,,0.49,-9,0.31,4,31,Male,Mobile App,PayPal,1,568,0,1,1,0
37,Digital,Monthly,2.65,14,0,0.73,13.52,Asia,Culture,0.75,0,Mobile,Newsletter Promo,0.2,79,-0.5,4,32,Male,Mobile App,PayPal,0,954,0,0,1,0
38,Digital+Print,Annual,1.61,20,0,0.0,11.92,North America,Politics,0.92,0,Mobile,Survey,0.53,58,0.6,3,28,Female,Mobile App,Debit Card,1,1219,0,0,1,0
39,Digital+Print,Monthly,4.34,21,2,0.94,15.79,Others,Culture,0.71,2,Desktop,,0.11,-23,0.62,5,30,Female,Referral,Credit Card,1,1020,1,0,0,0
40,Digital+Print,Monthly,4.55,19,0,0.16,8.16,North America,Finance,0.85,1,Tablet,,0.29,41,-0.71,1,45,Female,Mobile App,PayPal,1,137,0,0,1,0
41,Digital+Print,Monthly,0.23,25,0,0.23,8.28,Others,Politics,0.47,1,Desktop,Retention Offer,0.2,28,-0.38,1,42,Male,Mobile App,Credit Card,1,650,0,1,1,0
42,Digital+Print,Annual,1.61,5,2,0.26,4.8,North America,Culture,0.77,0,Tablet,,0.02,-58,-0.36,2,54,Female,Web,Credit Card,0,124,0,1,1,1
43,Espresso,Monthly,0.76,22,1,0.04,8.28,North America,Finance,0.93,1,Tablet,Newsletter Promo,0.08,17,0.63,3,23,Male,Web,PayPal,1,57,0,1,0,0
44,Digital+Print,Monthly,2.02,24,2,0.12,13.86,North America,Culture,0.57,0,Desktop,Newsletter Promo,0.21,-42,-0.3,4,54,Female,Web,Credit Card,1,277,0,0,0,0
45,Digital+Print,Annual,2.87,9,0,0.99,15.2,Asia,Politics,0.85,1,Mobile,Retention Offer,0.22,-40,0.35,5,50,Male,Mobile App,Credit Card,0,1647,0,1,1,0
46,Digital,Monthly,0.83,6,1,0.32,13.84,Asia,Politics,0.81,0,Desktop,Retention Offer,0.28,-60,-0.33,3,42,Male,Web,PayPal,0,1227,0,1,1,0
47,Digital,Monthly,1.62,21,0,0.12,2.82,Europe,Finance,0.34,0,Mobile,Retention Offer,0.52,-83,0.54,2,67,Female,Mobile App,Credit Card,1,1312,0,0,1,1
48,Digital,Monthly,1.49,16,5,0.11,14.33,Others,Politics,0.71,1,Mobile,Newsletter Promo,0.15,87,0.59,1,40,Male,Mobile App,Debit Card,1,83,1,1,1,0
49,Digital,Annual,3.31,17,0,0.72,2.65,Europe,Culture,0.39,0,Mobile,,0.21,96,0.83,5,25,Female,Web,Credit Card,0,470,1,1,0,0
50,Digital,Monthly,3.1,16,0,0.85,13.59,Europe,Politics,0.98,1,Desktop,Newsletter Promo,0.36,-22,-0.09,1,34,Male,Mobile App,Credit Card,1,1332,0,0,0,0
51,Espresso,Annual,1.92,8,1,0.26,8.53,Asia,Finance,0.87,1,Mobile,,0.22,86,0.0,5,48,Male,Web,Credit Card,0,1401,0,1,0,0
52,Digital+Print,Monthly,3.27,9,0,0.02,12.81,North America,Politics,0.38,0,Mobile,Retention Offer,0.31,69,-0.07,4,43,Female,Web,Credit Card,0,1562,0,1,1,0
53,Espresso,Annual,2.18,9,2,0.22,4.67,North America,Politics,0.39,1,Mobile,,0.24,63,0.01,5,28,Male,Mobile App,Debit Card,0,1351,1,0,1,0
54,Digital,Annual,2.59,24,0,0.06,14.68,Others,Culture,0.72,0,Desktop,,0.54,67,-0.21,4,47,Male,Mobile App,Credit Card,0,548,0,1,1,0
55,Espresso,Annual,5.51,6,0,0.1,4.14,Others,Politics,0.54,1,Desktop,Survey,0.41,-71,0.53,3,28,Male,Web,Credit Card,0,1115,0,1,1,1
56,Digital+Print,Monthly,5.01,15,0,0.43,7.33,Others,Technology,0.32,0,Desktop,,0.4,1,-0.38,1,20,Female,Web,Credit Card,0,1202,1,1,1,0
57,Digital+Print,Annual,1.05,28,0,0.23,6.01,Others,Environment,0.68,1,Mobile,,0.08,-90,-0.07,5,57,Female,Web,PayPal,0,655,0,1,0,0
58,Digital,Monthly,4.24,17,2,0.52,2.98,North America,Technology,0.57,2,Mobile,,0.15,23,0.1,5,57,Female,Web,Credit Card,0,752,0,1,1,1
59,Digital,Monthly,4.22,5,0,0.25,10.38,Asia,Culture,0.37,1,Desktop,Retention Offer,0.51,52,0.25,2,38,Female,Referral,PayPal,0,235,0,1,0,0
60,Digital,Monthly,1.28,26,1,0.94,17.22,Europe,Politics,0.86,0,Mobile,,0.31,72,-0.6,1,52,Female,Web,PayPal,1,199,1,1,1,0
61,Digital+Print,Annual,4.23,19,2,0.91,20.67,Others,Politics,0.94,2,Desktop,Retention Offer,0.32,78,-0.12,3,45,Female,Referral,Credit Card,0,83,1,0,1,1
62,Digital+Print,Annual,5.31,0,0,0.57,10.39,Europe,Culture,0.83,0,Desktop,Newsletter Promo,0.11,70,0.01,4,39,Female,Referral,Debit Card,0,344,1,1,1,1
63,Digital+Print,Annual,1.32,0,1,0.35,14.47,Europe,Technology,0.88,0,Desktop,Newsletter Promo,0.06,-35,0.4,3,59,Male,Web,PayPal,0,203,0,1,1,0
64,Digital,Monthly,1.62,11,1,0.38,10.93,Europe,Technology,0.45,3,Tablet,,0.69,-2,-0.11,2,68,Female,Web,Credit Card,0,201,0,1,1,1
65,Espresso,Monthly,4.53,20,1,0.41,12.0,North America,Technology,0.48,1,Mobile,,0.24,74,-0.05,3,63,Female,Mobile App,PayPal,1,76,1,0,0,1
66,Digital,Annual,3.41,27,0,0.73,8.63,North America,Finance,0.45,1,Mobile,,0.58,-77,0.07,4,35,Female,Web,PayPal,0,392,1,1,1,0
67,Digital+Print,Monthly,3.83,1,1,0.45,10.78,Asia,Politics,0.84,1,Desktop,,0.57,-24,0.52,1,40,Male,Mobile App,PayPal,0,1770,0,0,0,1
68,Digital,Monthly,3.51,3,1,0.86,12.15,Asia,Culture,0.96,1,Mobile,Retention Offer,0.3,64,-1.03,2,43,Female,Web,Credit Card,0,447,1,0,0,0
69,Digital+Print,Monthly,3.59,16,0,0.94,7.69,North America,Technology,0.8,2,Mobile,,0.09,27,0.05,5,52,Female,Web,PayPal,1,1574,0,0,1,1
70,Digital+Print,Monthly,1.01,3,0,0.34,9.69,Asia,Finance,0.92,1,Mobile,,0.19,83,0.58,5,46,Male,Web,Credit Card,0,799,0,1,0,0
71,Digital+Print,Monthly,4.57,10,0,0.56,9.77,Europe,Culture,0.75,1,Mobile,Survey,0.47,-7,-0.41,1,69,Other,Web,Credit Card,0,1790,1,1,1,0
72,Digital,Monthly,4.75,21,1,0.1,13.31,Europe,Finance,0.57,0,Mobile,,0.19,-14,-0.38,3,63,Female,Mobile App,PayPal,0,1334,0,1,0,1
73,Espresso,Monthly,2.66,25,1,0.2,5.74,North America,Politics,0.6,1,Mobile,,0.64,23,0.61,5,28,Male,Referral,PayPal,1,641,1,0,1,0
74,Digital+Print,Monthly,2.93,3,0,0.41,9.79,Asia,Culture,0.35,1,Desktop,,0.08,-55,-0.17,2,59,Female,Web,Credit Card,0,1049,0,1,1,1
75,Digital+Print,Annual,0.7,0,1,0.21,17.65,Asia,Culture,0.32,1,Desktop,Retention Offer,0.55,55,-0.16,4,63,Female,Web,Credit Card,0,943,0,1,1,0
76,Digital,Monthly,3.77,6,1,0.88,14.66,Europe,Finance,0.79,0,Desktop,Retention Offer,0.23,-8,0.14,3,18,Female,Web,PayPal,0,1164,1,1,1,0
77,Digital+Print,Monthly,3.86,29,2,0.16,15.4,Europe,Politics,0.61,1,Desktop,Retention Offer,0.33,79,-1.49,4,33,Female,Web,Debit Card,1,877,1,0,0,1
78,Digital,Monthly,2.91,17,1,0.46,10.1,North America,Politics,0.69,2,Mobile,Newsletter Promo,0.39,-86,-0.91,3,42,Male,Mobile App,Credit Card,0,1018,0,1,0,0
79,Digital,Monthly,4.69,8,0,0.61,11.28,Europe,Technology,0.69,2,Mobile,,0.32,72,0.29,2,55,Male,Mobile App,Credit Card,0,882,0,1,0,0
